LOCALITY_,PRIME_DPS_,NAME,PRINT_NAME,NAME_2,POPULATION,PERIM_FT,AREA_SQ_FT,SOURCE,UPDATE_,NOTES,SHAPE_AREA,SHAPE_LEN,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
54,57375,Peru town,Peru,NA,6279,248993,NA,NYSEG,2000,NA,239048557.91,75893.349446,0,0,0,0,0,0,0,0
55,48582,Morristown town,Morristown,NA,1632,217908,NA,NGRID,2000,NA,150624561.443,66420.387194,0,0,0,0,0,0,0,0
60,12331,Canton village,Canton,NA,4647,44047,NA,NGRID,2000,NA,5923027.96949,13425.8823647,0,0,0,0,0,0,0,0
63,61159,Rensselaer Falls villag,Rensselaer Falls,NA,243,14074,8683542,NGRID,2000,NA,806759.890062,4289.81265382,0,0,0,0,0,0,0,0
64,20038,De Kalb town,De Kalb,NA,1931,231752,NA,NGRID,2000,NA,213822663.906,70640.0347619,0,0,0,0,0,0,0,0
65,03221,Ausable town,Ausable,NA,2021,222629,NA,NYSEG,2000,NA,112193523.309,67857.8168757,0,0,0,0,0,0,0,0
68,15330,Chesterfield town,Chesterfield,NA,1565,292882,NA,NYSEG,2000,NA,273125227.038,89271.3607136,0,0,0,0,0,0,0,0
71,31841,Hammond town,Hammond,NA,968,212351,NA,NGRID,2000,NA,200519956.485,64726.3544023,0,0,0,0,0,0,0,0
73,82271,Willsboro town,Willsboro,NA,1915,193782,NA,NYSEG,2000,NA,186072687.747,59065.1832035,0,0,0,0,0,0,0,0
75,29608,Gouverneur town,Gouverneur,NA,3365,231998,NA,NGRID,2000,NA,181305082.374,70714.7816216,0,0,0,0,0,0,0,0
79,31830,Hammond village,Hammond,NA,280,16470,NA,NGRID,2000,NA,1510513.42751,5020.3517379,0,0,0,0,0,0,0,0
80,82315,Wilmington town,Wilmington,NA,1125,190917,NA,NYSEG,2000,NA,169257965.279,58192.5888571,0,0,0,0,0,0,0,0
82,61621,Richville village,Richville,NA,260,18394,NA,NGRID,2000,NA,1907478.12053,5606.58338984,0,0,0,0,0,0,0,0
84,63858,Rossie town,Rossie,NA,768,177857,NA,NGRID,2000,NA,101498553.703,54212.5270714,0,0,0,0,0,0,0,0
85,42114,Lewis town,Lewis,NA,1206,204645,NA,NYSEG,2000,NA,217664018.658,62376.6682536,0,0,0,0,0,0,0,0
87,23646,Edwards town,Edwards,NA,682,180903,NA,NGRID,2000,NA,129916116.212,55140.2762936,0,0,0,0,0,0,0,0
90,57716,Piercefield town,Piercefield,NA,305,255001,NA,NGRID,2000,NA,286248878.729,77726.7521277,0,0,0,0,0,0,0,0
93,01187,Alexandria Bay village,Alexandria Bay,NA,952,23774,NA,NGRID,2000,NA,1790057.17895,7246.52248227,0,0,0,0,0,0,0,0
95,29597,Gouverneur village,Gouverneur,NA,4055,40176,NA,NGRID,2000,NA,5667049.39304,12245.9036812,0,0,0,0,0,0,0,0
96,27100,Fowler town,Fowler,NA,2161,164665,NA,NGRID,2000,NA,157617919.614,50190.6900638,0,0,0,0,0,0,0,0
97,24768,Essex town,Essex,NA,707,132619,NA,NYSEG,2000,NA,96045904.5446,40422.6890119,0,0,0,0,0,0,0,0
99,16287,Clifton town,Clifton,NA,811,318970,NA,NGRID,2000,NA,388829647.911,97224.2809887,0,0,0,0,0,0,0,0
101,02297,Antwerp town,Antwerp,NA,1133,246981,NA,NGRID,2000,NA,277822912.828,75280.8483143,0,0,0,0,0,0,0,0
104,16100,Clayton town,Clayton,NA,3094,401424,NA,NGRID,2000,NA,209892689.08,122352.035482,0,0,0,0,0,0,0,0
106,23833,Elizabethtown town,Elizabethtown,NA,1611,218600,NA,NYSEG,2000,NA,212233487.104,66629.4774149,0,0,0,0,0,0,0,0
107,75671,Tupper Lake village,Tupper Lake,NA,3054,58436,NA,Municipal,2000,NA,4634820.66372,17811.6122871,0,0,0,0,0,0,0,0
109,58266,Pitcairn town,Pitcairn,NA,808,169324,NA,NGRID,2000,NA,154293429.122,51610.4527356,0,0,0,0,0,0,0,0
110,73517,Theresa village,Theresa,NA,698,24713,NA,Municipal,2000,NA,3404127.57635,7532.24923634,0,0,0,0,0,0,0,0
113,02286,Antwerp village,Antwerp,NA,663,22166,NA,NGRID,2000,NA,2818423.65386,6756.16727832,0,0,0,0,0,0,0,0
